abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
ANN I FOURIER,annales de l'institut fourier,2,annales de l'institut fourier,annales de lâinstitut fourier,,http://aif.cedram.org/spip.php?lang=en,3,http://aif.cedram.org/spip.php?lang=en,,
ADV MATH COMMUN,advances in mathematics of communications,3,advances in mathematics of communications,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=10,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=10,http://aimsciences.org/journals/home.jsp?journalID=10,
INVERSE PROBL IMAG,inverse problems and imaging,3,inverse problems and imaging,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=11,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=11,http://aimsciences.org/journals/home.jsp?journalID=11,
DISCRETE CONT DYN-S,discrete and continuous dynamical systems - series s,1,discrete and continuous dynamical systems - series s,discrete and continuous dynamical systems - series a (dcds-a),discrete and continuous dynamical systems,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=15,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=15,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=1,
KINET RELAT MOD,kinetics and related models,2,kinetic and related models,kinetics and related models,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=16,3,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=16,,
DISCRETE CONT DYN-B,discrete and continuous dynamical systems - series b,3,discrete and continuous dynamical systems - series b,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2,1,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2,http://aimsciences.org/journals/home.jsp?journalID=2,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=2
MATH CONTROL RELAT F,mathematical control and related fields (mcrf),2,mathematical control and related fields (mcrf),mathematical control and related fields(mcrf),,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,http://www.aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=23,
NETW HETEROG MEDIA,networks and heterogeneous media,3,networks and heterogeneous media,,,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=9,2,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=9,http://aimsciences.org/journals/home.jsp?journalID=9,
ALGORITHM MOL BIOL,algorithms for molecular biology,3,algorithms for molecular biology,,,http://almob.biomedcentral.com/about/editorial-board,2,http://almob.biomedcentral.com/about/editorial-board,http://almob.biomedcentral.com/,
APPL MATH-CZECH,applications of mathematics (czech),2,czechoslovak mathematical journal,applications of mathematics,,http://am.math.cas.cz/#editors,2,http://cmj.math.cas.cz/,http://am.math.cas.cz/,
ARS MATH CONTEMP,ars mathematica contemporanea,3,ars mathematica contemporanea,,,http://amc-journal.eu/index.php/amc/about/editorialTeam,2,http://amc-journal.eu/index.php/amc/about/editorialTeam,,
ANN SCUOLA NORM-SCI,annali della scuola normale superiore di pisa,2,annali della scuola normale superiore di pisa,annali della scuola normale superiore di pisa - classe di scienze,,http://annaliscienze.sns.it/index.php?page=EditorialBoard,3,http://annaliscienze.sns.it/index.php?page=EditorialBoard,,
ANN MATH,annals of mathematics,3,annals of mathematics,,,http://annals.math.princeton.edu/board,3,http://annals.math.princeton.edu/board,,
BAYESIAN ANAL,bayesian analysis,3,bayesian analysis,,,http://bayesian.org/BA/editorial-board,2,http://bayesian.org/BA/editorial-board,,
CURR BIOINFORM,current bioinformatics,3,current bioinformatics,,,http://benthamscience.com/journals/current-bioinformatics/editorial-board/,3,http://benthamscience.com/journals/current-bioinformatics/editorial-board/,,
B IRAN MATH SOC,bulletin of the iranian mathematical society,2,bulletin of the iranian mathematical society,the bulletin of the iranian mathematical society,,http://bims.iranjournals.ir/journal/editorial.board,3,http://bims.iranjournals.ir/journal/editorial.board,,
BIODATA MIN,biodata mining,2,biodata mining,biodata min,,http://biodatamining.biomedcentral.com/about/editorial-board,2,http://biodatamining.biomedcentral.com/about/editorial-board,http://pubpeer.com/journals/BioData-Min,
B KOREAN MATH SOC,bulletin of the korean mathematical society,3,bulletin of the korean mathematical society,,,http://bkms.kms.or.kr/about/board.html,1,http://bkms.kms.or.kr/about/board.html,http://www.koreascience.or.kr/journal/AboutJournal.jsp?kojic=E1BMAX,http://bkms.kms.or.kr/
UTILITAS MATHEMATICA,utilitas mathematica,3,utilitas mathematica,,,http://bkocay.cs.umanitoba.ca/utilitas/index.html,2,http://bkocay.cs.umanitoba.ca/utilitas/index.html,http://www.researchgate.net/journal/0315-3681_Utilitas_Mathematica,
BMC BIOINFORMATICS,bmc bioinformatics,2,bmc bioinformatics,biomedical central bioinformatics,,http://bmcbioinformatics.biomedcentral.com/about/editorial-board,1,http://bmcbioinformatics.biomedcentral.com/about/editorial-board,http://bmcbioinformatics.biomedcentral.com/,http://link.springer.com/journal/12859
BMC SYST BIOL,bmc systems biology,3,bmc systems biology,,,http://bmcsystbiol.biomedcentral.com/about/editorial-board,3,http://bmcsystbiol.biomedcentral.com/about/editorial-board,,
B BELG MATH SOC-SIM,bulletin of the belgian mathematical society-simon stevin,2,bulletin of the belgian mathematical society-simon stevin,bulletin of the belgian mathematical society,,http://bms.ulb.ac.be/cgi/bull_general.php,3,http://bms.ulb.ac.be/cgi/bull_general.php,,
CARPATHIAN J MATH,carpathian journal of mathematics,3,carpathian journal of mathematics,,,http://carpathian.ubm.ro/?m=editorial_board%2F,2,http://carpathian.ubm.ro/?m=editorial_board%2F,,
CONTRIB DISCRET MATH,contributions to discrete mathematics,2,contributions to discrete mathematics,journals in combinatorics and related fields,,http://cdm.ucalgary.ca/cdm/index.php/cdm/pages/view/editors.html,1,http://www.combinatorics.net/journals/jhomes/ConDisMat.html,http://cdm.ucalgary.ca/cdm/index.php/cdm/pages/view/editors.html,http://www.journals.elsevier.com/discrete-mathematics/editorial-board/
CZECH MATH J,czechoslovak mathematical journal,3,czechoslovak mathematical journal,,,http://cmj.math.cas.cz/,3,http://cmj.math.cas.cz/,,
CAN MATH BULL,canadian mathematical bulletin,3,canadian mathematical bulletin,,,http://cms.math.ca/Docs/commlist.html,3,http://cms.math.ca/Docs/commlist.html,,
CAN J MATH,canadian journal of mathematics,2,canadian journal of mathematics,the canadian journal of mathematics,,http://cms.math.ca/Docs/commlist.html#cjmcmb-board,2,http://cms.math.ca/Docs/commlist.html,http://cms.math.ca/cjm/,
MATH GEOSCI,mathematical geosciences,3,mathematical geosciences,,,http://cosmo-mg.mcgill.ca/board,1,http://www.springer.com/earth+sciences+and+geography/journal/11004?detailsPage=editorialBoard,http://cosmo-mg.mcgill.ca/board,http://www.springer.com/earth+sciences+and+geography/journal/11004/PS2?detailsPage=editorialBoard
IET SYST BIOL,iet systems biology,2,iet systems biology,iet digital library,,http://digital-library.theiet.org/journals/iet-syb/editorial-board,3,http://digital-library.theiet.org/journals/iet-syb/editorial-board,,
ELECTRON J DIFFER EQ,electronic journal of differential equations,2,electronic journal of differential equations,the electronic journal of qualitative theory of differential equations,,http://ejde.math.txstate.edu/editors.html,2,http://ejde.math.txstate.edu/editors.html,http://ejde.math.txstate.edu/,
COMPEL,compel - the international journal for computation and mathematics in electrical and electronic engineering,1,compel - the international journal for computation and mathematics in electrical and electronic engineering,the international journal for computation and mathematics in electrical and electronic engineering,compel,http://emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=compel,2,http://emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=compel,http://www.emeraldinsight.com/action/clickThrough?id=1010&loc=%2Fjournal%2Fcompel&pubId=40000046&url=http%3A%2F%2Femeraldgrouppublishing.com%2Fproducts%2Fjournals%2Feditorial_team.htm%3Fid%3Dcompel,
ENG COMPUTATION,engineering computations,3,engineering computations,,,http://emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=ec,3,http://emeraldgrouppublishing.com/products/journals/editorial_team.htm?id=ec,,
ELECTRON T NUMER ANA,electronic transactions on numerical analysis,3,electronic transactions on numerical analysis,,,http://etna.mcs.kent.edu/editors/,1,http://www.researchgate.net/journal/1068-9613_Electronic_transactions_on_numerical_analysis_ETNA,http://etna.mcs.kent.edu/editors/,http://etna.mcs.kent.edu/
IEEE ACM T COMPUT BI,ieee / acm transactions on computational biology and bioinformatics,2,computational biology and bioinformatics,ieee transactions on pattern analysis and machine intelligence,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980170,3,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6980170,,
IEEE J BIOMED HEALTH,ieee journal of biomedical and health informatics,1,ournal of biomedical and health informatics,"journal of biomedical and health informatics, ieee",ieee journal of biomedical and health informatics,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7370004,2,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7370004,http://jbhi.embs.org/editorial-board/editor-in-chief/,
IRAN J FUZZY SYST,iranian journal of fuzzy systems,3,iranian journal of fuzzy systems,,,http://ijfs.usb.ac.ir/journal/editorial.board,3,http://ijfs.usb.ac.ir/journal/editorial.board,,
MATH REP,mathematical reports,2,mathematical reports,reports on mathematical physics,,http://imar.ro/journals/Mathematical_Reports/editorial_board.html,1,http://www.imar.ro/journals/Mathematical_Reports/home_page.html,http://imar.ro/journals/Mathematical_Reports/editorial_board.html,
REV UNION MAT ARGENT,revista de la unión matemática argentina,2,revista de la uniÃ³n matemÃ¡tica argentina,revista de la  uniÃ³n matemÃ¡tica argentina,,http://inmabb.criba.edu.ar/revuma/revuma.php?p=board,2,http://inmabb.criba.edu.ar/revuma/revuma.php?p=board,,
ASIAN J MATH,asian journal of mathematics,2,asian journal of mathematics,the asian journal of mathematics,,http://intlpress.com/site/pub/pages/journals/items/ajm/_home/editorial/index.html,1,http://www.ims.cuhk.edu.hk/~ajm/,http://intlpress.com/site/pub/pages/journals/items/ajm/_home/editorial/index.html,http://intlpress.com/site/pub/pages/journals/items/ajm/_home/_main/
COMMUN ANAL GEOM,communications in analysis and geometry,2,communications in analysis and geometry,communications in analysis and geometry impact factor,,http://intlpress.com/site/pub/pages/journals/items/cag/_home/editorial/index.html,2,http://intlpress.com/site/pub/pages/journals/items/cag/_home/editorial/index.html,http://www.bioxbio.com/if/html/COMMUN-ANAL-GEOM.html,
COMMUN MATH SCI,communications in mathematical sciences,3,communications in mathematical sciences,,,http://intlpress.com/site/pub/pages/journals/items/cms/_home/editorial/index.html,3,http://intlpress.com/site/pub/pages/journals/items/cms/_home/editorial/index.html,,
COMMUN NUMBER THEORY,communications in number theory and physics,3,communications in number theory and physics,,,http://intlpress.com/site/pub/pages/journals/items/cntp/_home/editorial/index.html,1,http://intlpress.com/site/pub/pages/journals/items/cntp/_home/_main/,http://intlpress.com/site/pub/pages/journals/items/cntp/_home/editorial/index.html,
HOMOL HOMOTOPY APPL,"homology, homotopy and applications",3,"homology, homotopy and applications",,,http://intlpress.com/site/pub/pages/journals/items/hha/_home/editorial/index.html,2,http://intlpress.com/site/pub/pages/journals/items/hha/_home/editorial/index.html,http://intlpress.com/site/pub/pages/journals/items/hha/_home/_main/index.html,
J DIFFER GEOM,journal of differential geometry,3,journal of differential geometry,,,http://intlpress.com/site/pub/pages/journals/items/jdg/_home/editorial/index.html,2,http://intlpress.com/site/pub/pages/journals/items/jdg/_home/editorial/index.html,http://intlpress.com/site/pub/pages/journals/items/jdg/_home/_main/,
J SYMPLECT GEOM,journal of symplectic geometry,2,journal of symplectic geometry,the journal of symplectic geometry,,http://intlpress.com/site/pub/pages/journals/items/jsg/_home/editorial/index.html,2,http://intlpress.com/site/pub/pages/journals/items/jsg/_home/editorial/index.html,http://www-math.mit.edu/~mrowka/JSG/editors.html,
MATH RES LETT,mathematical research letters,3,mathematical research letters,,,http://intlpress.com/site/pub/pages/journals/items/mrl/_home/editorial/index.html,1,http://www.researchgate.net/journal/1073-2780_Mathematical_Research_Letters,http://intlpress.com/site/pub/pages/journals/items/mrl/_home/editorial/index.html,
PURE APPL MATH Q,pure and applied mathematics quarterly,3,pure and applied mathematics quarterly,,,http://intlpress.com/site/pub/pages/journals/items/pamq/_home/editorial/index.html,3,http://intlpress.com/site/pub/pages/journals/items/pamq/_home/editorial/index.html,,
STAT INTERFACE,statistics and its interface,3,statistics and its interface,,,http://intlpress.com/site/pub/pages/journals/items/sii/_home/editorial/index.html,3,http://intlpress.com/site/pub/pages/journals/items/sii/_home/editorial/index.html,,
RUSS MATH SURV+,russian mathematical surveys,3,russian mathematical surveys,,,http://iopscience.iop.org/0036-0279/page/Editorial,3,http://iopscience.iop.org/0036-0279/page/Editorial,,
INVERSE PROBL,inverse problems,3,inverse problems,,,http://iopscience.iop.org/0266-5611/page/Editorial,3,http://iopscience.iop.org/0266-5611/page/Editorial,,
NONLINEARITY,nonlinearity,3,nonlinearity,,,http://iopscience.iop.org/0951-7715/page/Editorial,3,http://iopscience.iop.org/0951-7715/page/Editorial,,
SB MATH+,sbornik: mathematics,3,sbornik: mathematics,,,http://iopscience.iop.org/1064-5616/page/Editorial%20Board,2,http://iopscience.iop.org/1064-5616/,http://iopscience.iop.org/1064-5616/page/Editorial,
IZV MATH+,izvestiya: mathematics,3,izvestiya: mathematics,,,http://iopscience.iop.org/1064-5632/page/Editorial%20Board,2,http://iopscience.iop.org/1064-5632/page/Editorial,http://iopscience.iop.org/1064-5632/,
J MOD DYNAM,journal of modern dynamics,3,journal of modern dynamics,,,http://jmdmath.s3-website-us-east-1.amazonaws.com/EditorialBoard.html,2,http://jmdmath.s3-website-us-east-1.amazonaws.com/EditorialBoard.html,http://jmdmath.s3-website-us-east-1.amazonaws.com/,
J MATH INEQUAL,journal of mathematical inequalities,2,journal of mathematical inequalities,http://jmi.ele-math.com/,,http://jmi.ele-math.com/editorial,3,http://jmi.ele-math.com/editorial,,
FRONT COMPUT NEUROSC,frontiers in computational neuroscience,2,frontiers in computational neuroscience,fronties in computational neuroscience,,http://journal.frontiersin.org/journal/computational-neuroscience,3,http://journal.frontiersin.org/journal/computational-neuroscience,,
FRONT NEUROINFORM,frontiers in neuroinformatics,2,frontiers in neuroinformatics,frontiers in neuroinformation,,http://journal.frontiersin.org/journal/neuroinformatics#editorial-board,2,http://journal.frontiersin.org/journal/neuroinformatics,http://www.journalabbr.com/journal/frontiers-in-neuroinformatics.html,
TAIWAN J MATH,taiwanese journal of mathematics,3,taiwanese journal of mathematics,,,http://journal.tms.org.tw/index.php/TJM/pages/view/EditorialBoard,2,http://journal.tms.org.tw/index.php/TJM/pages/view/EditorialBoard,http://journal.taiwanmathsoc.org.tw/index.php/TJM/pages/view/EditorialBoard,
ACTA NUMER,acta numerica,3,acta numerica,,,http://journals.cambridge.org/action/displayMoreInfo?jid=ANU&type=eb,2,http://journals.cambridge.org/action/displayJournal?jid=ANU,http://www.journals.elsevier.com/acta-biomaterialia/editorial-board/,
ANZIAM J,the anziam journal,3,the anziam journal,,,http://journals.cambridge.org/action/displayMoreInfo?jid=ANZ&sessionId=79D9EEF521D0BDD95B32B4B322B300C0.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=ANZ&sessionId=79D9EEF521D0BDD95B32B4B322B300C0.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=ANZ&sessionId=9EAF275181007C2258D017C5AD3D4EF3.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=ANZ&sessionId=165031D96BECE521D5679E8B0692D057.journals&type=eb
ESAIM CONTR OPTIM CA,esaim control optimisation and calculus of variations,2,esaim control optimisation and calculus of variations,esaim-control optimisation and calculus of variations,,http://journals.cambridge.org/action/displayMoreInfo?jid=COV&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=COV&type=eb,http://www.esaim-cocv.org/about-the-journal/editorial-board,http://journals.cambridge.org/action/displayMoreInfo?jid=COV&sessionId=D2D42B8625EAB06955FBD0BD5863BCC5.journals&type=eb
COMB PROBAB COMPUT,combinatorics probability and computing,1,"combinatorics, probability and computing",combinatorics probability & computing,combinatorics probability and computing,http://journals.cambridge.org/action/displayMoreInfo?jid=CPC&sessionId=675509E9212CFD996E268968CF52BC6D.journals&type=eb,1,http://www.researchgate.net/journal/0963-5483_Combinatorics_Probability_and_Computing,http://journals.cambridge.org/action/displayMoreInfo?jid=CPC&sessionId=675509E9212CFD996E268968CF52BC6D.journals&type=eb,http://www.combinatorics.net/journals/jhomes/ComProComp.html
E ASIAN J APPL MATH,east asian journal on applied mathematics,2,east asian journal on applied mathematics,east asia journal on applied mathematics,,http://journals.cambridge.org/action/displayMoreInfo?jid=EAM&type=eb&sessionId=975D6B2C37B9B76CFE9136CF7ABF3196.journals,1,http://journals.cambridge.org/action/displayJournal?jid=EAM,http://www.global-sci.org/eajam/,http://journals.cambridge.org/action/displayMoreInfo?jid=EAM&sessionId=C5E02486C50415557CEB446D8BA86562.journals&type=eb
ECONOMET THEOR,econometric theory,3,econometric theory,,,http://journals.cambridge.org/action/displayMoreInfo?jid=ECT&sessionId=8632B20E2994E207C940908FBF615C2A.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=ECT&sessionId=8632B20E2994E207C940908FBF615C2A.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=ECT&sessionId=147BC2A3349C1F793789C22A9B6C04B0.journals&type=eb,
EUR J APPL MATH,european journal of applied mathematics,3,european journal of applied mathematics,,,http://journals.cambridge.org/action/displayMoreInfo?jid=EJM&sessionId=675509E9212CFD996E268968CF52BC6D.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=EJM&sessionId=675509E9212CFD996E268968CF52BC6D.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=EJM&sessionId=9EAF275181007C2258D017C5AD3D4EF3.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=EJM&sessionId=7ACE2C2E8CB67BC522AEEF261B9D01EA.journals&type=eb
ERGOD THEOR DYN SYST,ergodic theory and dynamical systems,3,ergodic theory and dynamical systems,,,http://journals.cambridge.org/action/displayMoreInfo?jid=ETS&sessionId=20B5D1EAEB89382C84F1D86974D2E03E.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=ETS&sessionId=20B5D1EAEB89382C84F1D86974D2E03E.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=ETS&sessionId=6FEDE37767104FF0512A2CC7A8FF4450.journals&type=eb,http://journals.cambridge.org/action/displayJournal?jid=ETS
GLASGOW MATH J,glasgow mathematical journal,3,glasgow mathematical journal,,,http://journals.cambridge.org/action/displayMoreInfo?jid=GMJ&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=GMJ&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=GMJ&sessionId=8632B20E2994E207C940908FBF615C2A.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=GMJ&sessionId=B7B311F1AF17186B98F09B53FAF412B4.journals&type=eb
J AUST MATH SOC,journal of the australian mathematical society,3,journal of the australian mathematical society,,,http://journals.cambridge.org/action/displayMoreInfo?jid=JAZ&type=eb&sessionId=CC8E5E6ADC800A7D8282C028C9471F14.journals,1,http://journals.cambridge.org/action/displayJournal?jid=JAZ,http://journals.cambridge.org/action/displayMoreInfo?jid=JAZ&sessionId=6FC16F577B4134CD2FD99167B7D77691.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=JAZ&sessionId=E18478A81ADAAD7FA708764F9DFECD0B.journals&type=eb
J INST MATH JUSSIEU,journal of the institute of mathematics of jussieu,3,journal of the institute of mathematics of jussieu,,,http://journals.cambridge.org/action/displayMoreInfo?jid=JMJ&sessionId=8632B20E2994E207C940908FBF615C2A.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=JMJ&sessionId=8632B20E2994E207C940908FBF615C2A.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=JMJ&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=JMJ&sessionId=B7B311F1AF17186B98F09B53FAF412B4.journals&type=eb
J K-THEORY,journal of k-theory,3,journal of k-theory,,,http://journals.cambridge.org/action/displayMoreInfo?jid=KAG&sessionId=D34CB59A32E534B8F910AB1A931A50E5.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=KAG&sessionId=D34CB59A32E534B8F910AB1A931A50E5.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=KAG&sessionId=63ABB96B5753868ED1B9220B8F3DB113.journals&type=eb,
ESAIM-MATH MODEL NUM,esaim mathematical modelling and numerical analysis,2,mathematical modelling and numerical analysis,esaim: mathematical modelling and numerical analysis,,http://journals.cambridge.org/action/displayMoreInfo?jid=MZA&sessionId=9EAF275181007C2258D017C5AD3D4EF3.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=MZA&sessionId=9EAF275181007C2258D017C5AD3D4EF3.journals&type=eb,http://journals.cambridge.org/action/displayJournal?jid=MZA,http://journals.cambridge.org/action/displayMoreInfo?jid=MZA&sessionId=675509E9212CFD996E268968CF52BC6D.journals&type=eb
P EDINBURGH MATH SOC,proceedings of the edinburgh mathematical society,3,proceedings of the edinburgh mathematical society,,,http://journals.cambridge.org/action/displayMoreInfo?jid=PEM&sessionId=63ABB96B5753868ED1B9220B8F3DB113.journals&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=PEM&sessionId=63ABB96B5753868ED1B9220B8F3DB113.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=PEM&sessionId=79D9EEF521D0BDD95B32B4B322B300C0.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=PEM&sessionId=2DE571642E0A4EE1B75DCC4F317C86E6.journals&type=eb
P ROY SOC EDINB A,proceedings of the royal society of edinburgh section a-mathematics,2,proceedings of the royal society of edinburgh section a-mathematics,proceedings of the royal society of edinburgh section,,http://journals.cambridge.org/action/displayMoreInfo?jid=PRM&type=eb,2,http://www.journal-database.com/journal/proceedings-of-the-royal-society-of-edinburgh-section-a-mathematics.html,http://rspb.royalsocietypublishing.org/content/royprsb/279/1748/local/ed-board.pdf,
MATH PROC CAMBRIDGE,mathematical proceedings of the cambridge philosophical society,2,mathematical proceedings of the cambridge philosophical society,mathematical proceedings of the cambridge,,http://journals.cambridge.org/action/displayMoreInfo?jid=PSP&type=eb,1,http://journals.cambridge.org/action/displayMoreInfo?jid=PSP&type=eb,http://journals.cambridge.org/action/displayJournal?jid=PSP,http://journals.cambridge.org/action/displayMoreInfo?jid=PSP&sessionId=3A0701FF533E1969A20C613B5AE4EF8E.journals&type=eb
REV SYMB LOGIC,review of symbolic logic,2,review of symbolic logic,the review of symbolic logic,,http://journals.cambridge.org/action/displayMoreInfo?jid=RSL&sessionId=89164387868C8AA477C36890A06A6C97.journals&type=eb,1,http://libra.msra.cn/Journal/7367/rev-symb-log-review-of-symbolic-logic,http://journals.cambridge.org/action/displayMoreInfo?jid=RSL&sessionId=89164387868C8AA477C36890A06A6C97.journals&type=eb,http://journals.cambridge.org/action/displayIssue?jid=RSL&tab=firstview
NUMER MATH-THEORY ME,"numerical mathematics: theory, methods and applications",3,"numerical mathematics: theory, methods and applications",,,http://journals.cambridge.org/action/displayMoreInfo?jid=TMA&sessionId=BFEB20F8B936BE6CE9CA7E03EF9E2DC5.journals&type=eb,1,http://www.global-sci.org/nmtma/,http://journals.cambridge.org/action/displaymoreinfo?jid=tma&sessionid=b0a99d39ba7d08331ae6199282e898d1.journals&type=eb,http://journals.cambridge.org/action/displayMoreInfo?jid=TMA&sessionId=BFEB20F8B936BE6CE9CA7E03EF9E2DC5.journals&type=eb
PLOS COMPUT BIOL,plos computational biology,3,plos computational biology,,,http://journals.plos.org/ploscompbiol/s/editorial-board,3,http://journals.plos.org/ploscompbiol/s/editorial-board,,
TURK J MATH,turkish journal of mathematics,3,turkish journal of mathematics,,,http://journals.tubitak.gov.tr/math/index.htm;jsessionid=71E4455B0FC7A9CE42C0FC70396C4520#,1,http://journals.tubitak.gov.tr/math/index.htm;jsessionid=60F6B505D1CC33FA571A3E7BF2B74CE8,http://journals.tubitak.gov.tr/math/index.htm;jsessionid=71E4455B0FC7A9CE42C0FC70396C4520,http://journals.tubitak.gov.tr/math/index.htm;jsessionid=2B070C02CE1EF4FCD38F5955A818F141
J THEOR NOMBR BORDX,journal de théorie des nombres de bordeaux,3,journal de thÃ©orie des nombres de bordeaux,,,http://jtnb.math.u-bordeaux1.fr/jtnbedit_english.html,3,http://jtnb.math.u-bordeaux1.fr/jtnbedit_english.html,,
PUBL MAT,publicacions matemàtiques,2,publicacions matemÃ tiques,publicationes mathematicae,,http://mat.uab.es/pubmat/editors/llistat,1,http://mat.uab.es/pubmat/,http://mat.uab.es/pubmat/editors/llistat,http://www.math.klte.hu/publi/index.php?p=3
MISKOLC MATH NOTES,miskolc mathematical notes,3,miskolc mathematical notes,,,http://mat76.mat.uni-miskolc.hu/~mnotes/index.php?page=editors,3,http://mat76.mat.uni-miskolc.hu/~mnotes/index.php?page=editors,,
MATCH-COMMUN MATH CO,match communications in mathematical and in computer chemistry,3,match communications in mathematical and in computer chemistry,,,http://match.pmf.kg.ac.rs/,3,http://match.pmf.kg.ac.rs/,,
SCI CHINA MATH,science china mathematics,3,science china mathematics,,,http://math.scichina.com:8081/sciAe/EN/column/column11291.shtml,2,http://math.scichina.com:8081/sciAe/EN/column/column11291.shtml,http://www.springer.com/mathematics/applications/journal/11425?detailsPage=editorialBoard,
HOUSTON J MATH,houston journal of mathematics,3,houston journal of mathematics,,,http://math.uh.edu/~hjm/,3,http://math.uh.edu/~hjm/,,
J MATH SOC JPN,journal of the mathematical society of japan,2,journal of the mathematical society of japan,journal of the mathematical society of japan (jmsj),,http://mathsoc.jp/publication/JMSJ/editorialboard.html,3,http://mathsoc.jp/publication/JMSJ/editorialboard.html,,
MATH INEQUAL APPL,mathematical inequalities & applications,2,mathematical inequalities & applications,mathematical inequalities and applications,,http://mia.ele-math.com/editorial,3,http://mia.ele-math.com/editorial,,
ALGEBR GEOM TOPOL,algebraic and geometric topology,2,algebraic and geometric topology,algebraic & geometric topology,,http://msp.org/agt/about/journal/editorial.html,3,http://msp.org/agt/about/journal/editorial.html,,
ALGEBR NUMBER THEORY,algebra and number theory journal,1,algebra and number theory journal,algebra & number theory,algebra and number theory,http://msp.org/ant/about/journal/editorial.html,3,http://msp.org/ant/about/journal/editorial.html,,
ANAL PDE,analysis & partial differential equations,2,analysis & pde,analysis & partial differential equations,,http://msp.org/apde/about/journal/editorial.html,2,http://msp.org/apde/about/journal/editorial.html,http://msp.org/apde/about/journal/about.html,
GEOM TOPOL,geometry & topology,2,geometry & topology,geometry and topology,,http://msp.org/gt/about/journal/editorial.html,3,http://msp.org/gt/about/journal/editorial.html,,
PAC J MATH,pacific journal of mathematics,3,pacific journal of mathematics,,,http://msp.org/pjm/about/journal/editorial.html,2,http://msp.org/pjm/about/journal/editorial.html,http://msp.org/pjm/2016/280-1/index.xhtml,
NEW YORK J MATH,new york journal of mathematics,3,new york journal of mathematics,,,http://nyjm.albany.edu/edboard.htm,3,http://nyjm.albany.edu/edboard.htm,,
OPER MATRICES,operators and matrices,2,operators and matrices,operators and matrices: ele-math,,http://oam.ele-math.com/editorial,3,http://oam.ele-math.com/editorial,,
J GRAPH THEOR,journal of graph theory,3,journal of graph theory,,,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0118/homepage/EditorialBoard.html,3,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0118/homepage/EditorialBoard.html,,
