abbrev,correct title,title1_votes,title1,title2,title3,correct url,url1_votes,url1,url2,url3
J NONLINEAR MATH PHY,journal of nonlinear mathematical physics,3,journal of nonlinear mathematical physics,,,http://www.worldscientific.com/page/jnmp/editorial-board,2,http://www.worldscientific.com/worldscinet/jnmp,http://www.atlantis-press.com/publications/jnmp/,
J TOPOL ANAL,journal of topology and analysis,3,journal of topology and analysis,,,http://www.worldscientific.com/page/jta/editorial-board,3,http://www.worldscientific.com/page/jta/editorial-board,,
MATH METHOD APPL SCI,mathematical methods in the applied sciences,2,mathematical methods in the applied sciences,http://onlinelibrary.wiley.com/journal/10.1002/(issn)1099-1476,,http://www.worldscientific.com/page/m3as/editorial-board,2,http://www.worldscientific.com/page/m3as/editorial-board,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-1476/homepage/EditorialBoard.html,
MATH MOD METH APPL S,mathematical models and methods in applied sciences,1,mathematical models & methods in applied sciences,mathematical methods in the applied sciences,mathematical models and methods in applied sciences,http://www.worldscientific.com/page/m3as/editorial-board,1,http://www.worldscientific.com/toc/m3as/19/06,http://www.worldscientific.com/page/m3as/editorial-board,http://academic.research.microsoft.com/Journal/7302/math-meth-appl-sci-mathematical-methods-in-the-applied-sciences
J NONLINEAR CONVEX A,journal of nonlinear and convex analysis,3,journal of nonlinear and convex analysis,,,http://www.ybook.co.jp/jnca-edi.pdf,2,http://www.ybook.co.jp/jnca-edi.pdf,http://www.ybook.co.jp/jnca.html,
PAC J OPTIM,pacific journal of optimization,3,pacific journal of optimization,,,http://www.ybook.co.jp/pjo-edi.pdf,3,http://www.ybook.co.jp/pjo-edi.pdf,,
KYUSHU J MATH,kyushu journal of mathematics,2,kyushu journal of mathematics,the kyushu journal of mathematics,,http://www2.math.kyushu-u.ac.jp/~kjm/,2,http://www2.math.kyushu-u.ac.jp/~kjm/,,
NOTRE DAME J FORM L,notre dame journal of formal logic,3,notre dame journal of formal logic,,,http://www3.nd.edu/~ndjfl/editors.html,2,http://www3.nd.edu/~ndjfl/editors.html,http://projecteuclid.org/editors/euclid.ndjfl,
J GEOM MECH,the journal of geometric mechanics,2,the journal of geometric mechanics,journal of geometric mechanics,,https://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=17,3,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=17,,
J IND MANAG OPTIM,journal of industrial and management optimization,3,journal of industrial and management optimization,,,https://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=5,3,http://aimsciences.org/journals/JournalEditorialBoard.jsp?journalID=5,,
FINANC STOCH,finance and stochastics,3,finance and stochastics,,,https://people.math.ethz.ch/~finasto/edboard/edboard.html,2,http://people.math.ethz.ch/~finasto/,http://www.springer.com/mathematics/quantitative+finance/journal/780?detailsPage=editorialBoard,
J INTEGRAL EQU APPL,journal of integral equations and applications,3,journal of integral equations and applications,,,https://rmmc.asu.edu/jie/editors.html,3,http://rmmc.asu.edu/jie/editors.html,,
ROCKY MT J MATH,rocky mountain journal of mathematics,3,rocky mountain journal of mathematics,,,https://rmmc.asu.edu/rmj/editors.html,3,http://rmmc.asu.edu/rmj/editors.html,,
EDUC PSYCHOL MEAS,educational and psychological measurement,3,educational and psychological measurement,,,https://us.sagepub.com/en-us/nam/educational-and-psychological-measurement/journal200914#editorial-board,2,http://us.sagepub.com/en-us/nam/educational-and-psychological-measurement/journal200914,http://epm.sagepub.com/,
MATH MECH SOLIDS,mathematics and mechanics of solids,3,mathematics and mechanics of solids,,,https://us.sagepub.com/en-us/nam/journal/mathematics-and-mechanics-solids#editorial-board,2,http://us.sagepub.com/en-us/nam/journal/mathematics-and-mechanics-solids,,
STAT METHODS MED RES,statistical methods in medical research,3,statistical methods in medical research,,,https://us.sagepub.com/en-us/nam/statistical-methods-in-medical-research/journal201829,3,http://us.sagepub.com/en-us/nam/statistical-methods-in-medical-research/journal201829,,
GLAS MAT,glasnik matematicki,2,glasnik matematicki,glass and ceramics,,https://web.math.pmf.unizg.hr/glasnik/,2,http://web.math.pmf.unizg.hr/glasnik/,http://www.springer.com/materials/special+types/journal/10717/PS2?detailsPage=editorialBoard,
INT J AP MAT COM-POL,international journal of applied mathematics and computer science,3,international journal of applied mathematics and computer science,,,https://www.amcs.uz.zgora.pl/?action=editors,1,http://www.amcs.uz.zgora.pl/?action=editors,,
BANACH J MATH ANAL,banach journal of mathematical analysis,3,banach journal of mathematical analysis,,,https://www.dukeupress.edu/Banach-Journal-of-Mathematical-Analysis/?viewby=journal,2,http://projecteuclid.org/editors/euclid.bjma,http://www.emis.de/journals/BJMA/,
DUKE MATH J,duke mathematical journal,3,duke mathematical journal,,,https://www.dukeupress.edu/Duke-Mathematical-Journal/,2,http://www.dukeupress.edu/Duke-Mathematical-Journal/,http://projecteuclid.org/editors/euclid.dmj,
COMMENT MATH HELV,commentarii mathematici helvetici,3,commentarii mathematici helvetici,,,https://www.ems-ph.org/journals/editorial.php?jrn=cmh,3,http://www.ems-ph.org/journals/editorial.php?jrn=cmh,,
